Shift LUT?,Intercept SE, Slope SE, Ex LUT Interpolation, Em LUT Interpolation,Ex LUT Split, Em LUT Split, Constant Diode, Start of Correction Region, 310 nm, 320 nm, 330 nm, 340 nm
False,none,none,quadratic,quadratic,none,none,False,350,0.435388668048,0.472556246531,0.603726295649,0.443410682014
False,none,none,quadratic,quadratic,none,none,True,350,0.419253610884,0.46667354634,0.608647959881,0.43442348935
False,none,none,quadratic,quadratic,none,even,False,350,0.441714129122,0.472550556425,0.602956257275,0.445850612608
False,none,none,quadratic,quadratic,none,even,True,350,0.425387853668,0.466688397079,0.607900218065,0.436834556874
False,none,none,quadratic,quadratic,none,odd,False,350,0.430374798231,0.472267996536,0.602909397633,0.440185918351
False,none,none,quadratic,quadratic,none,odd,True,350,0.414410093421,0.466367994498,0.607799134742,0.431244105674
False,none,none,quadratic,quadratic,even,none,False,350,0.435388668048,0.472556246531,0.603726295649,0.443410682014
False,none,none,quadratic,quadratic,even,none,True,350,0.419253610884,0.46667354634,0.608647959881,0.43442348935
False,none,none,quadratic,quadratic,even,even,False,350,0.441714129122,0.472550556425,0.602956257275,0.445850612608
False,none,none,quadratic,quadratic,even,even,True,350,0.425387853668,0.466688397079,0.607900218065,0.436834556874
False,none,none,quadratic,quadratic,even,odd,False,350,0.430374798231,0.472267996536,0.602909397633,0.440185918351
False,none,none,quadratic,quadratic,even,odd,True,350,0.414410093421,0.466367994498,0.607799134742,0.431244105674
False,none,none,quadratic,quadratic,odd,none,False,350,0.435388668048,0.472556246531,0.603726295649,0.443410682014
False,none,none,quadratic,quadratic,odd,none,True,350,0.419253610884,0.46667354634,0.608647959881,0.43442348935
False,none,none,quadratic,quadratic,odd,even,False,350,0.441714129122,0.472550556425,0.602956257275,0.445850612608
False,none,none,quadratic,quadratic,odd,even,True,350,0.425387853668,0.466688397079,0.607900218065,0.436834556874
False,none,none,quadratic,quadratic,odd,odd,False,350,0.430374798231,0.472267996536,0.602909397633,0.440185918351
False,none,none,quadratic,quadratic,odd,odd,True,350,0.414410093421,0.466367994498,0.607799134742,0.431244105674
False,none,none,quadratic,cubic,none,none,False,350,0.435309074754,0.472536161825,0.603769729469,0.443396299286
False,none,none,quadratic,cubic,none,none,True,350,0.419178230912,0.46665397915,0.608691796265,0.434409769137
False,none,none,quadratic,cubic,none,even,False,350,0.441755472513,0.472542281877,0.603065857324,0.445891655007
False,none,none,quadratic,cubic,none,even,True,350,0.425427026761,0.466680317931,0.608011133103,0.436874755437
False,none,none,quadratic,cubic,none,odd,False,350,0.430343830145,0.472508173795,0.60290977255,0.440319777695
False,none,none,quadratic,cubic,none,odd,True,350,0.414380038408,0.466604872686,0.607799180892,0.431374621884
False,none,none,quadratic,cubic,even,none,False,350,0.435309074754,0.472536161825,0.603769729469,0.443396299286
False,none,none,quadratic,cubic,even,none,True,350,0.419178230912,0.46665397915,0.608691796265,0.434409769137
False,none,none,quadratic,cubic,even,even,False,350,0.441755472513,0.472542281877,0.603065857324,0.445891655007
False,none,none,quadratic,cubic,even,even,True,350,0.425427026761,0.466680317931,0.608011133103,0.436874755437
False,none,none,quadratic,cubic,even,odd,False,350,0.430343830145,0.472508173795,0.60290977255,0.440319777695
False,none,none,quadratic,cubic,even,odd,True,350,0.414380038408,0.466604872686,0.607799180892,0.431374621884
False,none,none,quadratic,cubic,odd,none,False,350,0.435309074754,0.472536161825,0.603769729469,0.443396299286
False,none,none,quadratic,cubic,odd,none,True,350,0.419178230912,0.46665397915,0.608691796265,0.434409769137
False,none,none,quadratic,cubic,odd,even,False,350,0.441755472513,0.472542281877,0.603065857324,0.445891655007
False,none,none,quadratic,cubic,odd,even,True,350,0.425427026761,0.466680317931,0.608011133103,0.436874755437
False,none,none,quadratic,cubic,odd,odd,False,350,0.430343830145,0.472508173795,0.60290977255,0.440319777695
False,none,none,quadratic,cubic,odd,odd,True,350,0.414380038408,0.466604872686,0.607799180892,0.431374621884
False,none,none,cubic,linear,none,none,False,350,0.43590268999,0.471941252302,0.602846934096,0.443136279613
False,none,none,cubic,linear,none,none,True,350,0.41975062028,0.466063152526,0.607758341556,0.434151975922
False,none,none,cubic,linear,none,even,False,350,0.442331408805,0.470703945598,0.601053678642,0.4452656658
False,none,none,cubic,linear,none,even,True,350,0.425973744326,0.464851654868,0.605965895521,0.436248745441
False,none,none,cubic,linear,none,odd,False,350,0.431768328188,0.469334473168,0.599866664021,0.439298943997
False,none,none,cubic,linear,none,odd,True,350,0.415743247096,0.463455044371,0.604712659164,0.430362673713
False,none,none,cubic,linear,even,none,False,350,0.43590268999,0.471941252302,0.602846934096,0.443136279613
False,none,none,cubic,linear,even,none,True,350,0.41975062028,0.466063152526,0.607758341556,0.434151975922
False,none,none,cubic,linear,even,even,False,350,0.442331408805,0.470703945598,0.601053678642,0.4452656658
False,none,none,cubic,linear,even,even,True,350,0.425973744326,0.464851654868,0.605965895521,0.436248745441
False,none,none,cubic,linear,even,odd,False,350,0.431768328188,0.469334473168,0.599866664021,0.439298943997
False,none,none,cubic,linear,even,odd,True,350,0.415743247096,0.463455044371,0.604712659164,0.430362673713
False,none,none,cubic,linear,odd,none,False,350,0.43590268999,0.471941252302,0.602846934096,0.443136279613
False,none,none,cubic,linear,odd,none,True,350,0.41975062028,0.466063152526,0.607758341556,0.434151975922
False,none,none,cubic,linear,odd,even,False,350,0.442331408805,0.470703945598,0.601053678642,0.4452656658
False,none,none,cubic,linear,odd,even,True,350,0.425973744326,0.464851654868,0.605965895521,0.436248745441
False,none,none,cubic,linear,odd,odd,False,350,0.431768328188,0.469334473168,0.599866664021,0.439298943997
False,none,none,cubic,linear,odd,odd,True,350,0.415743247096,0.463455044371,0.604712659164,0.430362673713
False,none,none,cubic,slinear,none,none,False,350,0.43590268999,0.471941252302,0.602846934096,0.443136279613
False,none,none,cubic,slinear,none,none,True,350,0.41975062028,0.466063152526,0.607758341556,0.434151975922
False,none,none,cubic,slinear,none,even,False,350,0.442331408805,0.470703945598,0.601053678642,0.4452656658
False,none,none,cubic,slinear,none,even,True,350,0.425973744326,0.464851654868,0.605965895521,0.436248745441
False,none,none,cubic,slinear,none,odd,False,350,0.431768328188,0.469334473168,0.599866664021,0.439298943997
False,none,none,cubic,slinear,none,odd,True,350,0.415743247096,0.463455044371,0.604712659164,0.430362673713
False,none,none,cubic,slinear,even,none,False,350,0.43590268999,0.471941252302,0.602846934096,0.443136279613
False,none,none,cubic,slinear,even,none,True,350,0.41975062028,0.466063152526,0.607758341556,0.434151975922
False,none,none,cubic,slinear,even,even,False,350,0.442331408805,0.470703945598,0.601053678642,0.4452656658
False,none,none,cubic,slinear,even,even,True,350,0.425973744326,0.464851654868,0.605965895521,0.436248745441
False,none,none,cubic,slinear,even,odd,False,350,0.431768328188,0.469334473168,0.599866664021,0.439298943997
False,none,none,cubic,slinear,even,odd,True,350,0.415743247096,0.463455044371,0.604712659164,0.430362673713
False,none,none,cubic,slinear,odd,none,False,350,0.43590268999,0.471941252302,0.602846934096,0.443136279613
False,none,none,cubic,slinear,odd,none,True,350,0.41975062028,0.466063152526,0.607758341556,0.434151975922
False,none,none,cubic,slinear,odd,even,False,350,0.442331408805,0.470703945598,0.601053678642,0.4452656658
False,none,none,cubic,slinear,odd,even,True,350,0.425973744326,0.464851654868,0.605965895521,0.436248745441
False,none,none,cubic,slinear,odd,odd,False,350,0.431768328188,0.469334473168,0.599866664021,0.439298943997
False,none,none,cubic,slinear,odd,odd,True,350,0.415743247096,0.463455044371,0.604712659164,0.430362673713
False,none,none,cubic,quadratic,none,none,False,350,0.435388668048,0.472556246531,0.603726295649,0.443410682014
False,none,none,cubic,quadratic,none,none,True,350,0.419253610884,0.46667354634,0.608647959881,0.43442348935
False,none,none,cubic,quadratic,none,even,False,350,0.441714129122,0.472550556425,0.602956257275,0.445850612608
False,none,none,cubic,quadratic,none,even,True,350,0.425387853668,0.466688397079,0.607900218065,0.436834556874
False,none,none,cubic,quadratic,none,odd,False,350,0.430374798231,0.472267996536,0.602909397633,0.440185918351
False,none,none,cubic,quadratic,none,odd,True,350,0.414410093421,0.466367994498,0.607799134742,0.431244105674
False,none,none,cubic,quadratic,even,none,False,350,0.435388668048,0.472556246531,0.603726295649,0.443410682014
False,none,none,cubic,quadratic,even,none,True,350,0.419253610884,0.46667354634,0.608647959881,0.43442348935
False,none,none,cubic,quadratic,even,even,False,350,0.441714129122,0.472550556425,0.602956257275,0.445850612608
False,none,none,cubic,quadratic,even,even,True,350,0.425387853668,0.466688397079,0.607900218065,0.436834556874
False,none,none,cubic,quadratic,even,odd,False,350,0.430374798231,0.472267996536,0.602909397633,0.440185918351
False,none,none,cubic,quadratic,even,odd,True,350,0.414410093421,0.466367994498,0.607799134742,0.431244105674
False,none,none,cubic,quadratic,odd,none,False,350,0.435388668048,0.472556246531,0.603726295649,0.443410682014
False,none,none,cubic,quadratic,odd,none,True,350,0.419253610884,0.46667354634,0.608647959881,0.43442348935
False,none,none,cubic,quadratic,odd,even,False,350,0.441714129122,0.472550556425,0.602956257275,0.445850612608
False,none,none,cubic,quadratic,odd,even,True,350,0.425387853668,0.466688397079,0.607900218065,0.436834556874
